Sation,Period,Latitude,Longitude,From Date,To Date,PM2.5,PM10,NO2,NOx,CO,O3,SO2
"Alipur, Delhi - DPCC",24h,28.815329,77.15301,10-11-2024 00:00,11-11-2024 00:00,196.86,309.67,45.31,25.11,1.28,63.48,4.43
"Anand Vihar, Delhi - DPCC",24h,28.647622,77.315809,10-11-2024 00:00,11-11-2024 00:00,208.43,372.22,78.68,103.99,2.21,34.15,16.18
"Ashok Vihar, Delhi - DPCC",24h,28.695381,77.181665,10-11-2024 00:00,11-11-2024 00:00,208.21,349.79,68.91,55.66,2.09,5.18,19.42
"Arya Nagar, Delhi - IMD",24h,28.6701,76.9254,10-11-2024 00:00,11-11-2024 00:00,160.74,262.35,46.72,30.59,1.2,71.07,-
"Bawana, Delhi - DPCC",24h,28.7762,77.051074,10-11-2024 00:00,11-11-2024 00:00,254.93,406.77,35.94,23.56,1.94,64.71,10.27
"Burari Crossing, Delhi - IMD",24h,28.7256504,77.2011573,10-11-2024 00:00,11-11-2024 00:00,188.99,323.11,11.96,20,1.83,74.99,-
"CRRI Mathura Road,Delhi - IMD",24h,28.5512005,77.2735737,10-11-2024 00:00,11-11-2024 00:00,148.92,233.35,19.1,20.99,1.17,41.48,-
"Chandni Chowk, Delhi - IITM",24h,28.656756,77.227234,10-11-2024 00:00,11-11-2024 00:00,None,307.87,81.61,78.99,2.57,26.28,17.52
"DTU, Delhi - CPCB",24h,28.7500499,77.1112615,10-11-2024 00:00,11-11-2024 00:00,109.99,373,38.11,70.8,0.78,23.97,None
"Dr. Karni Singh Shooting Ramge, Delhi - DPCC",24h,28.498571,77.26484,10-11-2024 00:00,11-11-2024 00:00,169.75,269.29,60.93,44.07,1.87,67.21,17.77
"Dwarka Sector - 8, Delhi - DPCC",24h,28.5710274,77.0719006,10-11-2024 00:00,11-11-2024 00:00,186.71,382.88,100.52,108.9,3.11,80.06,9.08
"IGI Airport (T3), Delhi - IMD",24h,28.5627763,77.1180053,10-11-2024 00:00,11-11-2024 00:00,157.92,288.81,76.13,101.37,1.43,33.27,-
"IHBAS, Dilshad Garden, Delhi - CPCB",24h,28.6811736,77.3025234,10-11-2024 00:00,11-11-2024 00:00,111.75,289.81,23.16,29.27,1.92,11.16,13.7
"ITO, Delhi - CPCB",24h,28.628624,77.24106,10-11-2024 00:00,11-11-2024 00:00,158.87,175.87,55.61,64.65,2.77,31.88,14.02
"Jahangirpuri, Delhi - DPCC",24h,28.73282,77.170633,10-11-2024 00:00,11-11-2024 00:00,234.17,505.83,32.87,47.82,2.84,25.15,10.97
"Jawaharlal Nehru Stadium, Delhi - DPCC",24h,28.58028,77.233829,10-11-2024 00:00,11-11-2024 00:00,151.33,308.29,64.23,96.03,1.69,16.56,13.35
"Lodhi Road, Delhi - IITM",24h,28.588333,77.221667,10-11-2024 00:00,11-11-2024 00:00,135.03,237.92,78.24,None,None,None,19.64
"Lodhi Road, Delhi - IMD",24h,28.5918245,77.2273074,10-11-2024 00:00,11-11-2024 00:00,135.76,187.76,19.6,32.5,0.95,21.03,-
